order_date,product_id,InvoiceNo,Quantity,UnitPrice,Discount,amount
InvoiceDate,StockCode,InvoiceNo,Quantity,UnitPrice,Discount,0
2020-01-01 00:00,SKU_1964,221958,38,1.71,0.47,64.51
2020-01-01 01:00,SKU_1241,771155,18,41.25,0.19,742.31
2020-01-01 02:00,SKU_1501,231932,49,29.11,0.35,1426.04
2020-01-01 03:00,SKU_1760,465838,14,76.68,0.14,1073.38
2020-01-01 04:00,SKU_1386,359178,-30,-68.11,1.501433043360303,2041.79856695664
2020-01-01 05:00,SKU_1006,744167,47,70.16,0.48,3297.04
2020-01-01 06:00,SKU_1087,210268,25,85.74,0.15,2143.35
2020-01-01 07:00,SKU_1597,832180,8,95.65,0.04,765.16
2020-01-01 08:00,SKU_1907,154886,19,98.19,0.05,1865.56
2020-01-01 09:00,SKU_1866,237337,40,98.17,0.16,3926.64
2020-01-01 10:00,SKU_1144,621430,49,87.56,0.19,4290.25
2020-01-01 11:00,SKU_1450,187498,41,59.51,0.39,2439.52
2020-01-01 12:00,SKU_1330,999159,41,25.59,0.01,1049.18
2020-01-01 13:00,SKU_1709,275203,3,2.09,0.47,5.8
2020-01-01 14:00,SKU_1874,291335,29,35.88,0.06,1040.46
2020-01-01 15:00,SKU_1163,378167,16,82.58,0.41,1320.87
2020-01-01 16:00,SKU_1656,141090,7,70.85,0.0,495.95
2020-01-01 17:00,SKU_1341,429365,49,14.91,0.36,730.23
2020-01-01 18:00,SKU_1000,164820,21,1.07,0.49,21.98
2020-01-01 19:00,SKU_1119,887201,46,27.03,0.26,1243.12
2020-01-01 20:00,SKU_1578,421879,43,77.17,0.3,3318.01
2020-01-01 21:00,SKU_1463,818315,14,66.89,0.42,936.04
2020-01-01 22:00,SKU_1866,427069,39,66.18,0.07,2580.95
2020-01-01 23:00,SKU_1461,876997,24,70.01,0.12,1680.12
2020-01-02 00:00,SKU_1048,299041,48,27.87,0.24,1337.52
2020-01-02 01:00,SKU_1818,891743,30,59.53,0.25,1785.65
2020-01-02 02:00,SKU_1326,203355,33,97.96,0.23,3232.45
2020-01-02 03:00,SKU_1473,335796,22,28.73,0.25,631.81
2020-01-02 04:00,SKU_1887,314176,10,86.71,0.36,866.74
2020-01-02 05:00,SKU_1938,284779,11,90.69,0.39,997.2
2020-01-02 06:00,SKU_1367,447449,15,40.36,0.03,605.37
2020-01-02 07:00,SKU_1286,521909,48,8.39,0.08,402.64
2020-01-02 08:00,SKU_1023,358795,30,99.31,0.31,2978.99
2020-01-02 09:00,SKU_1722,586232,14,10.32,0.01,144.47
2020-01-02 10:00,SKU_1292,600186,32,82.94,0.15,2653.93
2020-01-02 11:00,SKU_1448,256730,26,35.39,0.02,920.12
2020-01-02 12:00,SKU_1984,970910,21,61.34,0.24,1287.9
2020-01-02 13:00,SKU_1062,484681,5,30.77,0.31,153.54
2020-01-02 14:00,SKU_1567,249503,47,38.11,0.27,1790.9
2020-01-02 15:00,SKU_1457,754811,12,29.06,0.15,348.57
2020-01-02 16:00,SKU_1529,627035,29,21.32,0.16,618.12
2020-01-02 17:00,SKU_1873,748143,21,36.85,0.15,773.7
2020-01-02 18:00,SKU_1960,552366,25,86.68,0.02,2166.98
2020-01-02 19:00,SKU_1412,165725,16,9.08,0.04,145.24
2020-01-02 20:00,SKU_1588,229981,31,2.1,0.29,64.81
2020-01-02 21:00,SKU_1259,184654,20,24.36,0.07,487.13
2020-01-02 22:00,SKU_1632,691723,31,84.83,0.12,2629.61
2020-01-02 23:00,SKU_1907,419030,11,93.1,0.38,1023.72
2020-01-03 00:00,SKU_1183,428947,32,81.47,0.0,2607.04
2020-01-03 01:00,SKU_1047,655839,48,4.74,0.22,227.3
2020-01-03 02:00,SKU_1146,373538,8,20.35,0.1,162.7
2020-01-03 03:00,SKU_1793,431236,23,33.63,0.33,773.16
2020-01-03 04:00,SKU_1875,628178,8,68.66,0.13,549.15
2020-01-03 05:00,SKU_1805,665894,2,33.4,0.16,66.64
2020-01-03 06:00,SKU_1591,589492,27,49.95,0.3,1348.35
2020-01-03 07:00,SKU_1747,356840,36,5.04,0.15,181.29
2020-01-03 08:00,SKU_1408,573254,35,4.66,0.27,162.83
2020-01-03 09:00,SKU_1439,449457,23,73.48,0.37,1689.67
2020-01-03 10:00,SKU_1457,765987,41,11.4,0.08,467.32
2020-01-03 11:00,SKU_1228,370936,48,28.29,0.33,1357.59
2020-01-03 12:00,SKU_1283,339931,13,1.47,0.32,18.79
2020-01-03 13:00,SKU_1572,339629,31,55.33,0.05,1715.18
2020-01-03 14:00,SKU_1731,305041,45,54.79,0.23,2465.32
2020-01-03 15:00,SKU_1344,798361,30,45.18,0.32,1355.08
2020-01-03 16:00,SKU_1600,831912,6,78.9,0.1,473.3
2020-01-03 17:00,SKU_1946,517113,20,39.0,0.09,779.91
2020-01-03 18:00,SKU_1907,168148,26,25.56,0.48,664.08
2020-01-03 19:00,SKU_1263,877089,36,34.13,0.32,1228.36
2020-01-03 20:00,SKU_1739,748531,19,69.38,0.33,1317.89
2020-01-03 21:00,SKU_1377,351995,22,94.81,0.43,2085.39
2020-01-03 22:00,SKU_1102,778843,12,70.77,0.33,848.91
